iso3,country,gain_score,vulnerability,wri_score,exposure,susceptibility,lack_coping,lack_adaptation,sp_coverage_rate,sp_year,gdp_per_capita,poverty_ratio,unemployment_rate,life_expectancy,health_exp_gdp,gini,bottom40_share,bottom20_share,top20_share,top10_share,palma_ratio,income_group,region_un,region_wb,mean_income_usd,adaptive_sp_score,has_trigger,has_registry,log_gdp,physical_exposure,gdp_inverted,socio_vulnerability,CLVI,sp_score,protection_gap,CLVI_0.6_0.4,CLVI_0.4_0.6,CLVI_0.7_0.3
AZE,Azerbaijan,51.9736469145074,48.0263530854926,2.09,0.23,11.32,12.32,49.36,35.2,2023.0,7283.8499076179,0.0,5.457,74.429,4.27113533,26.55,28.03,12.36,31.72,18.52,0.66,Upper middle income,Asia,Europe and Central Asia,,,,,8.893414834871592,0.23432538393334895,0.9754521656422503,0.26366209578408506,0.248993739858717,0.35200000000000004,-0.10300626014128303,0.24606006867364338,0.2519274110437906,0.2431263974885698
BHS,Bahamas,48.7086280712163,51.2913719287837,4.78,1.51,8.56,9.67,41.57,,,39455.4466548546,,9.207,74.552,6.30260801,41.4,15.9,5.8,46.8,31.4,1.97,High income,Americas,Latin America and the Caribbean,10111.0,,,,10.5829273815058,0.19362554824675035,0.8636606158137595,0.3810899229994512,0.2873577356231008,0.413,-0.12564226437689918,0.2686112981478307,0.30610417309837085,0.24986486067256058
BHR,Bahrain,54.5539737710923,45.4460262289077,0.87,0.14,4.85,2.61,12.55,,,29653.5682731534,,1.102,81.284,3.99562383,59.6,,,,,,High income,Asia,Middle East and North Africa,,,,,10.297337743665535,0.049332140968099486,0.8977206963291873,0.4842716241443903,0.2668018825562449,0.413,-0.1461981174437551,0.22330793423861584,0.31029583087387397,0.1798139859209867
BGD,Bangladesh,35.5462940007947,64.4537059992053,27.29,16.57,35.3,57.88,44.39,22.0,2021.0,2593.41611680774,5.9,3.778,74.672,2.17014575,32.39,21.08,8.64,41.43,26.83,1.27,Lower middle income,Asia,South Asia,,,,,7.860731249643071,0.5012346463974954,0.9917507307076486,0.34268513729689637,0.42195989184719584,0.22,0.20195989184719584,0.4378148427572558,0.406104940937136,0.4536697936673157
BRB,Barbados,60.9561765470909,39.0438234529091,2.58,0.48,6.99,8.49,44.93,,,26544.8707282621,1.7,6.524,76.178,5.40463829,32.0,13.0,4.3,54.9,39.9,3.0700000000000003,High income,Americas,Latin America and the Caribbean,,,,,10.186591815096785,0.192772689555044,0.9085229614210272,0.3755490152677755,0.28416085241140976,0.413,-0.12883914758859022,0.26588321984013663,0.3024384849826829,0.24760558726886345
BLR,Belarus,56.8178598177838,43.1821401822162,0.75,0.05,6.49,5.83,36.57,36.0,2019.0,8317.63399913792,0.0,3.38,74.1837804878049,7.08167362,25.44,24.17,9.93,35.5,21.28,0.88,Upper middle income,Europe,Europe and Central Asia,32.0,,,,9.026133118269373,0.15109571769463964,0.9718599185216908,0.2645497290716924,0.207822723383166,0.36,-0.15217727661683397,0.19647732224546074,0.21916812452087128,0.18513192110775545
BEL,Belgium,62.5989415153557,37.4010584846443,5.83,1.84,8.03,27.21,28.91,100.0,2022.0,56614.5679499036,0.1,5.906,82.3975609756098,10.80371571,25.6,23.4,9.1,34.5,20.5,0.88,High income,Europe,Europe and Central Asia,,,,,10.94402161534754,0.20115056890728347,0.8040352021813649,0.22383225969979118,0.21249141430353732,1.0,-0.7875085856964626,0.21022324522428654,0.2147595833827881,0.20795507614503578
BLZ,Belize,43.6341558659194,56.3658441340806,7.61,2.5,21.14,12.15,48.24,,,7681.24400583113,1.0,8.856,73.566,4.14735794,53.26,10.9,3.21,57.69,42.43,3.89,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.946536792950315,0.2721424946173635,0.974071279810534,0.546642369417472,0.40939243201741776,0.413,-0.003607567982582216,0.3819424445374069,0.43684241949742864,0.35449245705739607
BEN,Benin,38.5229434147719,61.4770565852281,1.6,0.09,41.2,12.87,43.94,8.4,2020.0,1485.38018885134,27.2,1.589,60.774,3.33732462,47.76,12.87,3.24,52.13,37.62,2.92,Low income,Africa,Sub-Saharan Africa,,,,,7.303426037897931,0.31812088787077597,0.9956009919994676,0.5595085159774377,0.4388147019241068,0.084,0.3548147019241068,0.41467593911344064,0.462953464734773,0.39053717630277446
BTN,Bhutan,48.1793317991413,51.8206682008587,1.21,0.1,8.58,8.94,39.97,,,3831.32535494609,0.0,3.227,72.975,4.41551638,37.44,17.47,6.68,44.38,27.93,1.6,Lower middle income,Asia,South Asia,,,,,8.250966067992525,0.18022762091626576,0.9874491788336224,0.3666831422566286,0.2734553815864472,0.413,-0.13954461841355276,0.25480982945241093,0.29210093372048346,0.23616427731837464
