"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","note_classif.label"
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Poor persons covered by social protection systems","2022",10.8,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Vulnerable persons covered by social assistance","2022",22.9,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Population covered by at least one social protection benefit","2022",88.8,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Persons above retirement age receiving a pension","2022",100,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Persons with severe disabilities collecting disability social protection benefits","2022",11,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Unemployed receiving unemployment benefits","2022",7.7,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Population covered by at least one social protection benefit","2022",81.3,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Persons above retirement age receiving a pension","2022",100,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Persons with severe disabilities collecting disability social protection benefits","2022",13.4,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Unemployed receiving unemployment benefits","2022",9.6,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Employed covered in the event of work injury","2020",100,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Employed covered in the event of work injury","2020",100,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Mothers with newborns receiving maternity benefits","2020",90.4,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Employed covered in the event of work injury","2020",100,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Unemployed receiving unemployment benefits","2012",11.1,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Unemployed receiving unemployment benefits","2011",10,
"Andorra","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Unemployed receiving unemployment benefits","2010",8.3,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Population covered by at least one social protection benefit","2022",4.1,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons above retirement age receiving a pension","2022",19.7,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons with severe disabilities collecting disability social protection benefits","2022",4.1,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Unemployed receiving unemployment benefits","2022",0.4,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Employed covered in the event of work injury","2022",3,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Children/households receiving child/family cash benefits","2022",0.2,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Vulnerable persons covered by social assistance","2022",1.6,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Population covered by at least one social protection benefit","2022",1.7,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Employed covered in the event of work injury","2022",1.6,
"United Arab Emirates","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Population covered by at least one social protection benefit","2022",4.6,
